Id,Label,Latitude,Longitude
87,MONSARRAT AVE + KALAKAUA AVE,21.269673,-157.821121
88,MONSARRAT AVE + KAPIOLANI PARK,21.269523,-157.820664
89,KAPAHULU AVE + CAMPBELL AVE,21.277968,-157.81395
90,CAMPBELL AVE + CASTLE ST,21.276742,-157.813171
91,CAMPBELL AVE + CATHERINE ST,21.275616,-157.812838
92,CAMPBELL AVE + ESTHER ST,21.274305,-157.812442
93,CAMPBELL AVE + GEORGE ST,21.27305,-157.812069
94,CAMPBELL AVE + HINANO ST,21.271712,-157.811707
95,CAMPBELL AVE + MONSARRAT AVE,21.269812,-157.8114
96,MONSARRAT AVE + KANAINA ST,21.269077,-157.813611
101,LILIHA ST + KAUAI ST,21.334493,-157.846653
102,LILIHA ST + 2639,21.33498,-157.845956
103,LILIHA ST + HAWAII ST,21.335435,-157.845302
104,HAWAII ST + PUUNUI AVE,21.336365,-157.84573
105,ROOKE AVE + HAWAII ST,21.336272,-157.846651
106,ROOKE AVE + KAUAI ST,21.335518,-157.847728
107,ROOKE AVE + MAUI ST,21.334424,-157.849183
108,ROOKE AVE + WYLLIE ST,21.33334,-157.850637
109,WYLLIE ST + OPP HUENE ST,21.332255,-157.849926
110,WYLLIE ST + LILIHA ST,21.330929,-157.848819
111,LILIHA ST + ANALU ST,21.330402,-157.849306
112,LILIHA ST + EKEKELA ST,21.329704,-157.8503
113,LILIHA ST + OPP HALAPIA PL,21.328622,-157.851829
114,LILIHA ST + HANANA PL,21.327239,-157.853286
115,LILIHA ST + JUDD ST,21.326276,-157.854186
116,LILIHA ST + PANUI ST,21.325382,-157.855292
117,LILIHA ST + KUNAWAI LN,21.32477,-157.856067
118,LILIHA ST + KUAKINI ST,21.323861,-157.857226
119,LILIHA ST + KELLETT LN,21.323097,-157.858244
120,LILIHA ST + HOLOKAHANA LN,21.322221,-157.859323
121,LILIHA ST + SCHOOL ST,21.32112,-157.860711
122,LILIHA ST + VINEYARD BL,21.320249,-157.861872
123,LILIHA ST + N KING ST,21.318772,-157.863827
124,N KING ST + N BERETANIA ST,21.316816,-157.864327
126,N HOTEL ST + MAUNAKEA ST,21.312312,-157.862868
127,S HOTEL ST + BETHEL ST,21.310586,-157.86167
128,S HOTEL ST + BISHOP ST,21.309428,-157.860534
130,S HOTEL ST + RICHARDS ST,21.308307,-157.858888
131,S KING ST + PUNCHBOWL ST,21.305103,-157.858239
132,S KING ST + SOUTH ST,21.303626,-157.85525
133,S KING ST + COOKE ST,21.303136,-157.853498
135,S KING ST + WARD AVE,21.301652,-157.849339
137,S KING ST + PENSACOLA ST,21.300443,-157.845924
138,S KING ST + PIIKOI ST,21.299856,-157.844223
139,S KING ST + CEDAR ST,21.299045,-157.841921
140,S KING ST + KEEAUMOKU ST,21.298364,-157.839979
141,S KING ST + KAHEKA ST,21.297695,-157.838136
142,KALAKAUA AVE + S KING ST,21.296535,-157.837055
143,KALAKAUA AVE + OPP PHILIP ST,21.295426,-157.837045
144,KALAKAUA AVE + MAKALOA ST,21.292954,-157.836873
145,KALAKAUA AVE + KAPIOLANI BL,21.290701,-157.835856
147,KALAKAUA AVE + ENA RD,21.28728,-157.834044
148,KUHIO AVE + OPP NAMAHANA ST,21.283762,-157.831147
150,KUHIO AVE + LEWERS ST,21.281497,-157.828578
151,KUHIO AVE + SEASIDE AVE,21.279841,-157.826671
152,KUHIO AVE + KAIULANI AVE,21.277465,-157.824278
153,KUHIO AVE + LILIUOKALANI AVE,21.275579,-157.822552
154,KUHIO AVE + PAOAKALANI AVE,21.274013,-157.82142
156,KAPAHULU AVE + KALAKAUA AVE,21.27164,-157.822429
157,KALAKAUA AVE + OPP MONSARRAT AVE,21.270782,-157.822427
159,KALAKAUA AVE + WAIKIKI AQUARIUM,21.266299,-157.821366
161,KALAKAUA AVE + ELKS CLUB,21.261885,-157.820332
162,KALAKAUA AVE + PONI MOI RD,21.26023,-157.819369
163,KALIHI-PALAMA BUS FACILITY,21.336199,-157.886154
164,MIDDLE ST + KAUA ST,21.33869,-157.882546
165,MIDDLE ST + KAHAUIKI ST,21.340905,-157.879974
166,MIDDLE ST + OPP NOTLEY ST,21.342123,-157.87845
169,SCHOOL ST + LINAPUNI ST,21.33982,-157.873627
170,SCHOOL ST + MARTIN ST,21.338649,-157.872685
171,SCHOOL ST + LEILANI ST,21.336953,-157.870643
172,SCHOOL ST + LIKELIKE HWY,21.335075,-157.868723
173,SCHOOL ST + KAPALAMA ST,21.333913,-157.867812
174,SCHOOL ST + HOUGHTAILING ST,21.332439,-157.86667
175,SCHOOL ST + OPP AUPUNI ST,21.331154,-157.865621
176,SCHOOL ST + KOKEA ST,21.32934,-157.864457
177,SCHOOL ST + 1015,21.328139,-157.863772
178,SCHOOL ST + LANAKILA AVE,21.326976,-157.863108
179,SCHOOL ST + OLD PALAMA ST,21.325828,-157.862455
180,SCHOOL ST + MOMOLIO ST,21.324157,-157.8615
181,ALAPAI ST + S KING ST,21.304125,-157.853623
182,RIVER ST + N BERETANIA ST,21.314072,-157.86215
183,KAPAHULU AVE + PAKI,21.272956,-157.817049
184,KAPAHULU AVE + LEAHI AVE,21.274478,-157.815944
186,SEA LIFE PARK,21.313028,-157.663117
187,KALANIANAOLE HWY + HAWAII KAI GOLF COURSE,21.297009,-157.662546
192,KALANIANAOLE HWY + KOKO MARINA CTR,21.277052,-157.706052
193,KALANIANAOLE HWY + OPP PORTLOCK RD,21.279191,-157.708562
195,KALANIANAOLE HWY + HAWAII KAI TOWNE CENTER,21.282266,-157.713402
196,KALANIANAOLE HWY + KEAHOLE ST,21.283027,-157.714985
197,KALANIANAOLE HWY + HAWAII KAI DR,21.284461,-157.717074
198,KALANIANAOLE HWY + KAWAIHAE ST,21.285754,-157.719093
199,KALANIANAOLE HWY + KULIOUOU RD,21.286164,-157.722968
200,KALANIANAOLE HWY + ELELUPE RD,21.285742,-157.724666
201,KALANIANAOLE HWY + OPP PAIKO DR,21.283065,-157.730463
202,KALANIANAOLE HWY + E HALEMAUMAU ST,21.282163,-157.734589
203,KALANIANAOLE HWY + W HALEMAUMAU ST,21.280932,-157.7392
204,KALANIANAOLE HWY + HAWAII LOA ST,21.280511,-157.742727
205,KALANIANAOLE HWY + PUUIKENA DR,21.280081,-157.744509
206,KALANIANAOLE HWY + E HIND DR,21.278852,-157.74936
207,KALANIANAOLE HWY + NENUE ST,21.278391,-157.751937
208,KALANIANAOLE HWY + W HIND DR,21.278101,-157.754417
209,KALANIANAOLE HWY + OPP WAILUPE CIR,21.277241,-157.758028
211,KALANIANAOLE HWY + WAA ST,21.276329,-157.763831
212,KALANIANAOLE HWY + ANALII ST,21.276245,-157.767582
213,KALANIANAOLE HWY + WAIALAE IKI PARK,21.276749,-157.770371
214,KALANIANAOLE HWY + LAUKAHI ST,21.27709,-157.772304
215,KALANIANAOLE HWY + KALANI HIGH SCHOOL,21.277453,-157.77472
216,KALANIANAOLE HWY + KALANIIKI ST,21.277628,-157.776411
217,KALANIANAOLE HWY + AINAKOA AVE,21.278285,-157.781436
218,KILAUEA AVE + WAIALAE AVE,21.277646,-157.784747
219,KILAUEA AVE + PAHOA AVE,21.275125,-157.785136
220,KILAUEA AVE + PUEO ST,21.272964,-157.785856
222,KILAUEA AVE + HUNAKAI ST,21.269653,-157.788872
224,KILAUEA AVE + 22ND AVE,21.269799,-157.793695
226,18TH AVE + KILAUEA AVE,21.270419,-157.797539
227,18TH AVE + OPP IWALANI PL,21.269535,-157.798018
228,18TH AVE + DIAMOND HEAD RD,21.268031,-157.798953
229,DIAMOND HEAD RD + 18TH AVE,21.267988,-157.800337
230,DIAMOND HEAD RD + MAKAPUU AVE,21.26939,-157.802227
231,MONSARRAT AVE + TROUSSEAU ST,21.269805,-157.808008
232,MONSARRAT AVE + CAMPBELL AVE,21.269476,-157.811741
233,PAU ST + ALA WAI BL,21.286588,-157.831682
235,MONSARRAT AVE + KANAINA AVE,21.269006,-157.813811
236,MONSARRAT AVE + CAMPBELL AVE,21.269482,-157.811401
237,MONSARRAT AVE + 3251,21.269678,-157.809533
238,MONSARRAT AVE + OPP TROUSSEAU ST,21.269728,-157.807954
240,DIAMOND HEAD RD + OPP KAPIOLANI COMMUNITY COLLEGE,21.268714,-157.801611
241,DIAMOND HEAD RD + OPP 18TH AVE,21.267615,-157.800017
242,18TH AVE + DIAMOND HEAD RD,21.267971,-157.798914
244,18TH AVE + KILAUEA AVE,21.270982,-157.797153
246,KILAUEA AVE + 22ND AVE,21.269654,-157.793565
247,KILAUEA AVE + PUU PANINI AVE,21.268587,-157.791273
248,KILAUEA AVE + HUNAKAI ST,21.269639,-157.788622
253,KALANIANAOLE HWY + WAIKUI ST,21.277689,-157.779347
254,KALANIANAOLE HWY + WAIELI ST,21.277307,-157.775842
255,KALANIANAOLE HWY + WAIHOLO ST,21.276796,-157.771959
256,KALANIANAOLE HWY + KAIMOKU PL,21.27595,-157.767308
257,KALANIANAOLE HWY + OPP WAA ST,21.276141,-157.763455
259,KALANIANAOLE HWY + WAILUPE CIR,21.276984,-157.757937
260,KALANIANAOLE HWY + OPP W HIND DR,21.277895,-157.75407
261,KALANIANAOLE HWY + OPP NENUE ST,21.278132,-157.751905
262,KALANIANAOLE HWY + OPP E HIND DR,21.278673,-157.748964
263,KALANIANAOLE HWY + OPP PUUIKENA DR,21.280002,-157.74396
264,KALANIANAOLE HWY + OPP W HALEMAUMAU,21.280728,-157.739015
265,KALANIANAOLE HWY + OPP E HALEMAUMAU,21.282174,-157.733607
266,KALANIANAOLE HWY + PAIKO DR,21.282828,-157.730356
267,KALANIANAOLE HWY + PAEOKI PL,21.285368,-157.725148
268,KALANIANAOLE HWY + KULIOUOU RD,21.285922,-157.722897
269,KALANIANAOLE HWY + OPP KAWAIHAE ST,21.285798,-157.719818
271,KALANIANAOLE HWY + OPP KEAHOLE ST,21.282774,-157.714934
272,KALANIANAOLE HWY + 6999,21.2803,-157.710043
273,KALANIANAOLE HWY + PORTLOCK RD,21.279291,-157.70884
277,KALANIANAOLE HWY + OPP HAWAII KAI GOLF COURSE,21.296997,-157.662429
278,HAWAII KAI DR + KALALEA ST,21.294697,-157.686865
279,HAWAII KAI DR + AHUKINI ST,21.293228,-157.684646
280,HAWAII KAI DR + OPP MAUNANANI ST,21.294049,-157.679792
281,MOKUHANO ST + KEKAA ST,21.296698,-157.6765
282,MOKUHANO ST + 1105,21.29799,-157.674214
283,MOKUHANO ST + HONOKAHUA ST,21.298031,-157.670721
284,HONOKAHUA ST + KEPANIWAI ST,21.299997,-157.670791
285,HONOKAHUA ST + 1229,21.301465,-157.671066
286,KAHULUI ST + KEALAHOU ST,21.302721,-157.671743
287,KEALAHOU ST + MUOLEA PL,21.300521,-157.672955
288,KEALAHOU ST + MOKUHANO ST,21.298409,-157.673437
289,KEALAHOU ST + OPP KALOHELANI PL,21.293393,-157.673004
290,KEALAHOU ST + HOLOKAI PL,21.291892,-157.671951
291,KEALAHOU ST + KUANALU PL,21.291562,-157.669963
292,KEALAHOU ST + KIPUKAI PL,21.292156,-157.667322
293,KEALAHOU ST + KALANIANAOLE HWY,21.291153,-157.66556
294,UNIVERSITY AVE + DATE ST,21.288479,-157.824985
296,UNIVERSITY AVE + S KING ST,21.292204,-157.821725
297,UNIVERSITY AVE + DOLE ST,21.297157,-157.82109
298,METCALF ST + UNIVERSITY AVE,21.29914,-157.82136
299,METCALF ST + MARQUES ST,21.299377,-157.824308
300,WILDER AVE + METCALF ST,21.299341,-157.826902
301,WILDER AVE + OPP EVELYN LN,21.300185,-157.82827
303,WILDER AVE + OPP ALEXANDER ST,21.301686,-157.830561
304,WILDER AVE + PUNAHOU ST,21.302622,-157.831966
305,WILDER AVE + MAKIKI ST,21.303809,-157.834584
306,WILDER AVE + KEEAUMOKU ST,21.304587,-157.836099
307,WILDER AVE + KEWALO ST,21.305386,-157.837628
308,WILDER AVE + PIIKOI ST,21.306578,-157.839922
309,PENSACOLA ST + WILDER AVE,21.307092,-157.841534
310,PENSACOLA ST + OPP HASSINGER ST,21.305648,-157.842977
311,PENSACOLA ST + LUNALILO ST,21.304892,-157.843748
314,LUNALILO ST + WARD AVE,21.306063,-157.848928
315,CAPTAIN COOK AVE + ALAPAI ST,21.306847,-157.850153
316,MAGELLAN AVE + FREAR ST,21.308868,-157.851337
317,MAGELLAN AVE + PELE ST,21.310519,-157.851882
318,MAGELLAN AVE + IOLANI AVE,21.311779,-157.852244
319,QUEEN EMMA ST + VINEYARD BL,21.312063,-157.854649
323,PUNCHBOWL ST + STATE CAPITOL,21.306501,-157.856183
324,PUNCHBOWL ST + S KING ST,21.304824,-157.858703
325,QUEEN ST + PUNCHBOWL ST,21.304466,-157.860014
326,QUEEN ST + MILILANI ST,21.305276,-157.860706
327,QUEEN ST + RICHARDS ST,21.306485,-157.861749
328,QUEEN ST + BISHOP ST,21.307377,-157.862528
329,QUEEN ST + FORT ST MALL,21.30813,-157.863226
330,BETHEL ST + S KING ST,21.310125,-157.862229
331,BETHEL ST + S HOTEL ST,21.31062,-157.861349
332,BETHEL ST + S BERETANIA ST,21.311427,-157.860132
333,NUUANU AVE + KUKUI ST,21.313265,-157.85883
334,NUUANU AVE + VINEYARD BL,21.315002,-157.857223
335,NUUANU AVE + N SCHOOL ST,21.316827,-157.855527
336,NUUANU AVE + ILIAHI ST,21.318087,-157.854354
337,NUUANU AVE + KUAKINI ST,21.319077,-157.853413
338,NUUANU AVE + PAUOA RD,21.321024,-157.851563
339,NUUANU AVE + JUDD ST,21.32299,-157.849856
340,NUUANU AVE + NUUANU CEMETERY,21.324676,-157.848639
341,NUUANU AVE + OPP KAWANANAKOA PL,21.326398,-157.847336
342,NUUANU AVE + OPP WYLLIE ST,21.327254,-157.846562
343,PALI HWY + OPP JACK LN,21.330538,-157.843906
344,PALI HWY + 2627,21.331322,-157.843256
345,PALI HWY + MOANAWAI PL,21.332885,-157.841986
346,PALI HWY + LAIMI RD,21.334339,-157.840884
347,PALI HWY + QUEEN EMMA SUMMER PALACE,21.335434,-157.84006
348,PALI HWY + PUIWA RD,21.337202,-157.837822
349,PALI HWY + DOWSETT AVE (MAKAI),21.337854,-157.83703
350,PALI HWY + WOOD ST,21.339248,-157.835429
362,MCCULLY ST + KAPIOLANI BL,21.288815,-157.832545
363,KAPIOLANI BL + MCCULLY ST,21.289168,-157.831633
364,KAPIOLANI BL + OPP PAANI ST,21.288594,-157.830132
365,KAPIOLANI BL + OPP ISENBERG ST,21.287749,-157.827913
371,PALI HWY + OPP DOWSETT AVE,21.340698,-157.834241
372,PALI HWY + OPP WOOD ST,21.33914,-157.835899
373,PALI HWY + PULELEHUA WAY,21.338041,-157.837162
374,PALI HWY + COUNTRY CLUB RD,21.336618,-157.839131
375,PALI HWY + AHIPUU ST,21.335527,-157.840397
376,PALI HWY + AHI PL,21.334119,-157.841416
377,PALI HWY + 2702,21.332838,-157.842393
378,PALI HWY + JACK LN,21.331399,-157.843567
379,PALI HWY + NIOLOPA PL,21.329927,-157.844816
380,NUUANU AVE + WYLLIE ST,21.32764,-157.846305
381,NUUANU AVE + KAWANANAKOA PL,21.326224,-157.847583
382,NUUANU AVE + ROBINSON LN,21.324799,-157.848647
384,NUUANU AVE + OPP PAUOA RD,21.321029,-157.851664
385,NUUANU AVE + KUAKINI ST,21.319601,-157.853042
386,NUUANU AVE + OPP ILIAHI ST,21.318212,-157.854341
387,NUUANU AVE + SCHOOL ST,21.317198,-157.855296
388,NUUANU AVE + FOSTER GARDENS,21.315068,-157.857267
390,NUUANU AVE + KUKUI ST,21.313331,-157.858873
391,NUUANU AVE + S BERETANIA ST,21.312121,-157.860234
392,NUUANU AVE + PAUAHI ST,21.311591,-157.861213
393,S KING ST + BETHEL ST,21.310054,-157.862677
397,WARD AVE + LUNALILO ST,21.305805,-157.848625
398,GREEN ST + WARD AVE,21.306632,-157.84773
399,THURSTON ST + GREEN ST,21.306479,-157.846278
400,THURSTON AVE + 1519,21.306982,-157.844398
401,THURSTON AVE + 1571,21.307413,-157.842521
402,WILDER AVE + PENSACOLA ST,21.307348,-157.841536
403,WILDER AVE + PIIKOI ST,21.306422,-157.839787
404,WILDER AVE + KEWALO ST,21.305547,-157.838102
405,WILDER AVE + KEEAUMOKU ST,21.304485,-157.836067
406,WILDER AVE + MAKIKI ST,21.303744,-157.834622
407,WILDER AVE + PUNAHOU ST,21.302988,-157.832837
408,WILDER AVE + HALEKULA WAY,21.302128,-157.831364
409,WILDER AVE + ALEXANDER ST,21.30133,-157.830154
410,WILDER AVE + EVELYN LN,21.300216,-157.828456
411,WILDER AVE + METCALF ST,21.299316,-157.827006
412,METCALF ST + HOONANEA ST,21.299243,-157.823616
413,UNIVERSITY AVE + METCALF ST,21.298674,-157.821231
414,UNIVERSITY AVE + DOLE ST,21.296531,-157.821292
415,UNIVERSITY AVE + COYNE ST,21.293108,-157.821408
416,UNIVERSITY AVE + S KING ST,21.291731,-157.822179
418,KAPIOLANI BL + UNIVERSITY AVE,21.287473,-157.825334
423,MCCULLY ST + KAPIOLANI BL,21.289861,-157.832239
424,MCCULLY ST + ALA WAI BL,21.288784,-157.832669
425,KONA ST + OPP KONA IKI ST (FS),21.292668,-157.844123
426,KONA ST + OPP KEEAUMOKU ST (NS),21.292165,-157.843003
427,MAHUKONA ST + ATKINSON DR,21.290322,-157.840207
428,ALA MOANA BL + ALA MOANA CENTER,21.289919,-157.844622
429,PIIKOI ST + ALA MOANA BL,21.291914,-157.847323
431,KAPIOLANI BL + OPP KAMAKEE ST,21.296442,-157.849964
433,KAPIOLANI BL + WARD AVE,21.298797,-157.85252
435,KAPIOLANI BL + COOKE ST,21.301587,-157.854572
436,KAPIOLANI BL + SOUTH ST,21.303298,-157.855387
437,S BERETANIA ST + PALI HWY + BISHOP ST,21.310404,-157.858507
438,N BERETANIA ST + OPP SMITH ST,21.312799,-157.860645
439,N BERETANIA ST + OPP RIVER ST,21.314069,-157.861813
440,N BERETANIA ST + N KING ST,21.316416,-157.863966
441,DILLINGHAM BL + N KING ST,21.318441,-157.865818
442,DILLINGHAM BL + AKEPO LN,21.319205,-157.868168
444,DILLINGHAM BL + KOKEA ST,21.321734,-157.872468
446,DILLINGHAM BL + WAIAKAMILO RD,21.323742,-157.875751
447,DILLINGHAM BL + MCNEILL ST,21.325548,-157.877894
448,DILLINGHAM BL + KALIHI ST,21.326724,-157.879245
449,DILLINGHAM BL + MOKAUEA ST,21.32824,-157.88103
450,KAMEHAMEHA HWY + PUUHALE RD,21.329901,-157.883024
451,KAMEHAMEHA HWY + LAUMAKA ST,21.330803,-157.884325
452,KAMEHAMEHA HWY + 2305,21.332134,-157.886173
453,KAMEHAMEHA HWY + MIDDLE ST,21.332714,-157.887576
454,FARRINGTON HWY + KAHUALII ST,21.389421,-157.994828
455,FARRINGTON HWY + PAIWA ST,21.386542,-157.998303
456,FARRINGTON HWY + OPP AWAMOKU ST,21.385086,-158.00052
459,FARRINGTON HWY + MAKAMAKA PL,21.383122,-158.010155
460,FARRINGTON HWY + ANIANI PL,21.38227,-158.01394
461,FARRINGTON HWY + PUPUPUHI ST,21.381665,-158.015807
462,FARRINGTON HWY + PUPUKAHI ST,21.380304,-158.018785
463,FARRINGTON HWY + LEOKANE ST,21.379556,-158.020252
464,FARRINGTON HWY + LEOKU ST,21.378278,-158.022711
465,NIMITZ HWY + KAKOI ST,21.334816,-157.895855
466,NIMITZ HWY + PUULOA RD,21.33564,-157.902991
467,NIMITZ HWY + PELTIER AVE,21.336084,-157.905828
468,NIMITZ HWY + OPP OHOHIA ST,21.336358,-157.907705
469,NIMITZ HWY + OPP PAIEA ST,21.337255,-157.913922
470,NIMITZ HWY + OPP RODGERS BL,21.337954,-157.918545
471,NIMITZ HWY + OPP AOLELE ST,21.338594,-157.923017
472,NIMITZ HWY + OPP ELLIOTT ST,21.339325,-157.927212
473,NIMITZ HWY + VALKENBURGH ST,21.340177,-157.929304
474,KAMEHAMEHA HWY + CENTER DR,21.349738,-157.934749
475,KAMEHAMEHA HWY + RADFORD DR,21.353604,-157.935595
476,KAMEHAMEHA HWY + HALAWA DR,21.362788,-157.937724
477,KAMEHAMEHA HWY + KALALOA ST,21.366776,-157.936415
478,KAMEHAMEHA HWY + KOHOMUA ST,21.369006,-157.935308
479,KAMEHAMEHA HWY + SALT LAKE BL,21.371369,-157.933856
480,KAMEHAMEHA HWY + HONOMANU ST,21.37965,-157.937631
481,KAMEHAMEHA HWY + PALI MOMI ST,21.381792,-157.942323
482,KAMEHAMEHA HWY + KAONOHI ST,21.383059,-157.945109
484,KAMEHAMEHA HWY + HEKAHA ST,21.385588,-157.950608
485,KAMEHAMEHA HWY + KAAHUMANU ST,21.386997,-157.953739
486,KAMEHAMEHA HWY + HILA PL,21.387701,-157.955292
487,KAMEHAMEHA HWY + KULEANA ST,21.389246,-157.958705
488,KAMEHAMEHA HWY + H-1 FWY,21.390997,-157.962512
489,KAMEHAMEHA HWY + PUU PONI ST,21.392088,-157.964912
490,KAMEHAMEHA HWY + PUU MOMI ST,21.392998,-157.967358
491,KAMEHAMEHA HWY + WAIMANO HOME RD,21.394299,-157.971092
492,KAMEHAMEHA HWY + ACACIA RD,21.395579,-157.974831
493,FARRINGTON HWY + OPP WAIAWA RD,21.396219,-157.981945
494,MAKAKILO DR + FARRINGTON HWY,21.340974,-158.076795
495,FARRINGTON HWY + OPP KAPOUKA PL,21.338629,-158.078239
498,KAPOLEI PKWY + KAMOKILA BL,21.328116,-158.088098
499,FARRINGTON HWY + OPP LAALOA ST,21.341811,-158.106729
500,FARRINGTON HWY + OPP WAIOMEA ST,21.344035,-158.113184
502,FARRINGTON HWY + OPP KAHE POINT BEACH PARK,21.353639,-158.129563
503,FARRINGTON HWY + KAHE POWER PLANT,21.356649,-158.129863
504,FARRINGTON HWY + OPP POHAKUNUI AVE,21.370403,-158.136324
505,FARRINGTON HWY + PILIOKAHI AVE,21.373536,-158.138236
507,FARRINGTON HWY + NANAKULI AVE,21.37892,-158.142642
508,FARRINGTON HWY + NANAKULI VILLAGE CENTER,21.381331,-158.145239
509,FARRINGTON HWY + HALEAKALA AVE,21.383168,-158.147233
510,FARRINGTON HWY + HELELUA ST,21.384751,-158.148939
511,FARRINGTON HWY + LUALUALEI NAVAL RD,21.386741,-158.1511
512,FARRINGTON HWY + MAALOA ST,21.388489,-158.152975
513,FARRINGTON HWY + AUYONG HOMESTEAD RD,21.390012,-158.154645
514,FARRINGTON HWY + MOHIHI ST,21.39145,-158.156209
515,FARRINGTON HWY + PRINCESS KAHANU AVE,21.393412,-158.158353
516,FARRINGTON HWY + 87-1624,21.394943,-158.160237
518,FARRINGTON HWY + HAKIMO RD,21.396788,-158.163554
519,FARRINGTON HWY + 87-1420,21.397518,-158.165598
520,FARRINGTON HWY + 87-1440,21.397949,-158.167657
521,FARRINGTON HWY + 87-1470,21.39828,-158.169945
522,FARRINGTON HWY + KAUKAMA RD,21.404498,-158.176821
523,FARRINGTON HWY + MAIPALAOA RD,21.409987,-158.176872
524,FARRINGTON HWY + MANUNUNU ST,21.411462,-158.176599
526,FARRINGTON HWY + ST JOHNS RD,21.415189,-158.176771
527,FARRINGTON HWY + KIMO ST,21.418281,-158.177252
528,FARRINGTON HWY + MAIPELA ST,21.421081,-158.177705
530,FARRINGTON HWY + KAUKAMANA ST,21.423696,-158.178137
532,FARRINGTON HWY + ALAPAKI ST,21.426243,-158.178564
533,FARRINGTON HWY + MAILIILI RD,21.429661,-158.181124
534,FARRINGTON HWY + C&C BASE YARD,21.430915,-158.182757
